time,reference,state
3.9,1104,2253.964
3.91,1104,2254.993
3.92,1104,2255.92
3.93,1104,2256.636
3.94,1104,2257.072
3.95,1104,2257.204
3.96,1104,2257.059
3.97,1104,2256.702
3.98,1104,2256.226
3.99,1104,2255.739
4,1104,2255.34
4.01,1104,2255.11
4.02,1104,2255.099
4.03,1104,2255.322
4.04,1104,2255.76
4.05,1104,2256.36
4.06,1104,2257.054
4.07,1104,2257.76
4.08,1104,2258.401
4.09,1104,2258.91
4.1,1104,2259.241
4.11,1104,2259.372
4.12,1104,2259.305
4.13,1104,2259.062
4.14,1104,2258.686
4.15,1104,2258.225
4.16,1104,2257.735
4.17,1104,2257.27
4.18,1104,2256.871
4.19,1104,2256.572
4.2,1104,2256.387
4.21,1104,2256.318
4.22,1104,2256.348
4.23,1104,2256.452
4.24,1104,2256.598
4.25,1104,2256.753
4.26,1104,2256.892
4.27,1104,2256.997
4.28,1104,2257.061
4.29,1104,2257.088
4.3,1104,2257.091
4.31,1104,2257.088
4.32,1104,2257.098
4.33,1104,2257.136
4.34,1104,2257.218
4.35,1104,2257.351
4.36,1104,2257.537
4.37,1104,2257.775
4.38,1104,2258.057
4.39,1104,2258.373
4.4,1104,2258.707
4.41,1104,2259.042
4.42,1104,2259.361
4.43,1104,2259.646
4.44,1104,2259.885
4.45,1104,2260.072
4.46,1104,2260.207
4.47,1104,2260.297
4.48,1104,2260.358
4.49,1104,2260.408
4.5,1104,2260.462
4.51,1104,2260.532
4.52,1104,2260.62
4.53,1104,2260.716
4.54,1104,2260.8
4.55,1104,2260.842
4.56,1104,2260.808
4.57,1104,2260.663
4.58,1104,2260.378
4.59,1104,2259.938
4.6,1104,2259.338
4.61,1104,2258.589
4.62,1104,2257.718
4.63,1104,2256.759
4.64,1104,2255.751
4.65,1104,2254.737
4.66,1104,2253.751
4.67,1104,2252.827
4.68,1104,2251.988
4.69,1104,2251.257
4.7,1104,2250.654
4.71,1104,2250.203
4.72,1104,2249.934
4.73,1104,2249.881
4.74,1104,2250.083
4.75,1104,2250.579
4.76,1104,2251.399
4.77,1104,2252.56
4.78,1104,2254.055
4.79,1104,2255.849
4.8,1104,2257.874
4.81,1104,2260.033
4.82,1104,2262.201
4.83,1104,2264.236
4.84,1104,2265.99
4.85,1104,2267.323
4.86,1104,2268.115
4.87,1104,2268.285
4.88,1104,2267.797
4.89,1104,2266.675
4.9,1104,2264.997
4.91,1104,2262.898
4.92,1104,2260.554
4.93,1104,2258.162
4.94,1104,2255.924
4.95,1104,2254.022
4.96,1104,2252.595
4.97,1104,2251.73
4.98,1104,2251.452
4.99,1104,2251.723
5,1104,2252.457
5.01,1104,2253.526
5.02,1104,2254.787
5.03,1104,2256.095
5.04,1104,2257.322
5.05,1104,2258.37
5.06,1104,2259.178
5.07,1104,2259.722
5.08,1104,2260.009
5.09,1104,2260.07
5.1,1104,2259.954
5.11,1104,2259.712
5.12,1104,2259.396
5.13,1104,2259.051
5.14,1104,2258.716
5.15,1104,2258.416
5.16,1104,2258.169
5.17,1104,2257.982
5.18,1104,2257.853
5.19,1104,2257.769
5.2,1104,2257.713
5.21,1104,2257.66
5.22,1104,2257.583
5.23,1104,2257.457
5.24,1104,2257.257
5.25,1104,2256.967
5.26,1104,2256.576
5.27,1104,2256.089
5.28,1104,2255.521
5.29,1104,2254.905
5.3,1104,2254.286
5.31,1104,2253.72
5.32,1104,2253.271
5.33,1104,2253
5.34,1104,2252.957
5.35,1104,2253.176
5.36,1104,2253.667
5.37,1104,2254.411
5.38,1104,2255.363
5.39,1104,2256.455
5.4,1104,2257.602
5.41,1104,2258.716
5.42,1104,2259.709
5.43,1104,2260.513
5.44,1104,2261.079
5.45,1104,2261.383
5.46,1104,2261.431
5.47,1104,2261.247
5.48,1104,2260.877
5.49,1104,2260.372
5.5,1104,2259.787
5.51,1104,2259.167
5.52,1104,2258.543
5.53,1104,2257.935
5.54,1104,2257.344
5.55,1104,2256.764
5.56,1104,2256.187
5.57,1104,2255.612
5.58,1104,2255.052
5.59,1104,2254.539
5.6,1104,2254.124
5.61,1104,2253.87
5.62,1104,2253.848
5.63,1104,2254.118
5.64,1104,2254.717
5.65,1104,2255.65
5.66,1104,2256.878
5.67,1104,2258.315
5.68,1104,2259.838
5.69,1104,2261.292
5.7,1104,2262.511
5.71,1104,2263.34
5.72,1104,2263.653
5.73,1104,2263.372
5.74,1104,2262.474
5.75,1104,2260.999
5.76,1104,2259.042
5.77,1104,2256.745
5.78,1104,2254.277
5.79,1104,2251.822
5.8,1104,2249.558
5.81,1104,2247.646
5.82,1104,2246.215
5.83,1104,2245.353
5.84,1104,2245.103
5.85,1104,2245.461
5.86,1104,2246.376
5.87,1104,2247.752
5.88,1104,2249.459
5.89,1104,2251.341
5.9,1104,2253.23
5.91,1104,2254.959
5.92,1104,2256.383
5.93,1104,2257.389
5.94,1104,2257.913
5.95,1104,2257.943
5.96,1104,2257.523
5.97,1104,2256.744
5.98,1104,2255.73
5.99,1104,2254.627
6,1104,2253.579
6.01,1104,2252.711
6.02,1104,2252.122
6.03,1104,2251.867
6.04,1104,2251.963
6.05,1104,2252.386
6.06,1104,2253.073
6.07,1104,2253.941
6.08,1104,2254.889
6.09,1104,2255.815
6.1,1104,2256.629
6.11,1104,2257.261
6.12,1104,2257.669
6.13,1104,2257.844
6.14,1104,2257.812
6.15,1104,2257.628
6.16,1104,2257.369
6.17,1104,2257.123
6.18,1104,2256.978
6.19,1104,2257.005
6.2,1104,2257.251
6.21,1104,2257.727
6.22,1104,2258.403
6.23,1104,2259.212
6.24,1104,2260.057
6.25,1104,2260.819
6.26,1104,2261.374
6.27,1104,2261.607
6.28,1104,2261.43
6.29,1104,2260.794
6.3,1104,2259.698
6.31,1104,2258.19
6.32,1104,2256.371
6.33,1104,2254.375
6.34,1104,2252.362
6.35,1104,2250.498
6.36,1104,2248.935
6.37,1104,2247.796
6.38,1104,2247.166
6.39,1104,2247.077
6.4,1104,2247.514
6.41,1104,2248.418
6.42,1104,2249.691
6.43,1104,2251.211
6.44,1104,2252.846
6.45,1104,2254.469
6.46,1104,2255.97
6.47,1104,2257.264
6.48,1104,2258.298
6.49,1104,2259.052
6.5,1104,2259.537
6.51,1104,2259.783
6.52,1104,2259.839
6.53,1104,2259.755
6.54,1104,2259.58
6.55,1104,2259.354
6.56,1104,2259.1
6.57,1104,2258.83
6.58,1104,2258.538
6.59,1104,2258.209
6.6,1104,2257.819
6.61,1104,2257.343
6.62,1104,2256.763
6.63,1104,2256.074
6.64,1104,2255.294
6.65,1104,2254.463
6.66,1104,2253.647
6.67,1104,2252.932
6.68,1104,2252.407
6.69,1104,2252.156
6.7,1104,2252.236
6.71,1104,2252.661
6.72,1104,2253.394
6.73,1104,2254.347
6.74,1104,2255.385
6.75,1104,2256.35
6.76,1104,2257.074
6.77,1104,2257.412
6.78,1104,2257.261
6.79,1104,2256.579
6.8,1104,2255.394
6.81,1104,2253.798
6.82,1104,2251.943
6.83,1104,2250.013
6.84,1104,2248.207
6.85,1104,2246.706
6.86,1104,2245.657
6.87,1104,2245.149
6.88,1104,2245.214
6.89,1104,2245.822
6.9,1104,2246.892
6.91,1104,2248.309
6.92,1104,2249.94
6.93,1104,2251.649
6.94,1104,2253.314
6.95,1104,2254.835
6.96,1104,2256.141
6.97,1104,2257.189
6.98,1104,2257.966
6.99,1104,2258.484
7,1104,2258.775
7.01,1104,2258.882
7.02,1104,2258.857
7.03,1104,2258.752
7.04,1104,2258.61
7.05,1104,2258.466
7.06,1104,2258.339
7.07,1104,2258.232
7.08,1104,2258.135
7.09,1104,2258.024
7.1,1104,2257.875
7.11,1104,2257.661
7.12,1104,2257.373
7.13,1104,2257.018
7.14,1104,2256.624
7.15,1104,2256.244
7.16,1104,2255.941
7.17,1104,2255.787
7.18,1104,2255.844
7.19,1104,2256.153
7.2,1104,2256.726
7.21,1104,2257.537
7.22,1104,2258.524
7.23,1104,2259.594
7.24,1104,2260.639
7.25,1104,2261.543
7.26,1104,2262.206
7.27,1104,2262.553
7.28,1104,2262.546
7.29,1104,2262.191
7.3,1104,2261.537
7.31,1104,2260.664
7.32,1104,2259.677
7.33,1104,2258.686
7.34,1104,2257.786
7.35,1104,2257.052
7.36,1104,2256.517
7.37,1104,2256.179
7.38,1104,2255.996
7.39,1104,2255.899
7.4,1104,2255.808
7.41,1104,2255.643
7.42,1104,2255.347
7.43,1104,2254.892
7.44,1104,2254.293
7.45,1104,2253.602
7.46,1104,2252.901
7.47,1104,2252.291
7.48,1104,2251.87
7.49,1104,2251.717
7.5,1104,2251.876
7.51,1104,2252.34
7.52,1104,2253.057
7.53,1104,2253.925
7.54,1104,2254.813
7.55,1104,2255.582
7.56,1104,2256.1
7.57,1104,2256.272
7.58,1104,2256.055
7.59,1104,2255.467
7.6,1104,2254.585
7.61,1104,2253.541
7.62,1104,2252.494
7.63,1104,2251.614
7.64,1104,2251.053
7.65,1104,2250.928
7.66,1104,2251.295
7.67,1104,2252.151
7.68,1104,2253.428
7.69,1104,2255.005
7.7,1104,2256.72
7.71,1104,2258.395
7.72,1104,2259.853
7.73,1104,2260.941
7.74,1104,2261.55
7.75,1104,2261.62
7.76,1104,2261.152
7.77,1104,2260.2
7.78,1104,2258.868
7.79,1104,2257.292
7.8,1104,2255.626
7.81,1104,2254.024
7.82,1104,2252.629
7.83,1104,2251.551
7.84,1104,2250.87
7.85,1104,2250.623
7.86,1104,2250.811
7.87,1104,2251.401
7.88,1104,2252.331
7.89,1104,2253.521
7.9,1104,2254.877
7.91,1104,2256.306
7.92,1104,2257.713
7.93,1104,2259.016
7.94,1104,2260.143
7.95,1104,2261.043
7.96,1104,2261.681
7.97,1104,2262.042
7.98,1104,2262.128
7.99,1104,2261.959
8,1104,2261.564
8.01,1104,2260.984
8.02,1104,2260.266
8.03,1104,2259.459
8.04,1104,2258.616
8.05,1104,2257.786
8.06,1104,2257.017
8.07,1104,2256.35
8.08,1104,2255.818
8.09,1104,2255.444
8.1,1104,2255.236
8.11,1104,2255.19
8.12,1104,2255.285
8.13,1104,2255.485
8.14,1104,2255.742
8.15,1104,2255.995
8.16,1104,2256.176
8.17,1104,2256.217
8.18,1104,2256.056
8.19,1104,2255.643
8.2,1104,2254.949
8.21,1104,2253.976
8.22,1104,2252.759
8.23,1104,2251.37
8.24,1104,2249.918
8.25,1104,2248.54
8.26,1104,2247.387
8.27,1104,2246.611
8.28,1104,2246.338
8.29,1104,2246.655
8.3,1104,2247.59
8.31,1104,2249.104
8.32,1104,2251.091
8.33,1104,2253.389
8.34,1104,2255.793
8.35,1104,2258.081
8.36,1104,2260.037
8.37,1104,2261.48
8.38,1104,2262.282
8.39,1104,2262.38
8.4,1104,2261.787
8.41,1104,2260.59
8.42,1104,2258.933
8.43,1104,2257.01
8.44,1104,2255.035
