time,ref1,finger1_exp1,finger1_exp2,finger1_exp3,finger1_exp4,finger1_exp5,ref2,finger2_exp1,finger2_exp2,finger2_exp3,finger2_exp4,finger2_exp5,ref3,finger3_exp1,finger3_exp2,finger3_exp3,finger3_exp4,finger3_exp5,force_ref1,force_finger1_exp1,force_finger1_exp2,force_finger1_exp3,force_finger1_exp4,force_finger1_exp5,force_ref2,force_finger2_exp1,force_finger2_exp2,force_finger2_exp3,force_finger2_exp4,force_finger2_exp5,force_ref3,force_finger3_exp1,force_finger3_exp2,force_finger3_exp3,force_finger3_exp4,force_finger3_exp5
0.5,0,2196.103,2193.321,2203.675,2189.386,2204.988,0,2053.459,2048.544,2058.294,2054.481,2052.293,0,2668.344,2666.435,2680.708,2658.628,2662.436,0,181.2526,181.459,178.206,183.4379,188.0449,0,62.26193,57.17396,87.28279,52.77707,68.36859,0,1762.01,1738.682,1609.103,1649.193,1727.773
0.51,0,2182.849,2180.385,2190.123,2174.729,2191.31,0,2041.514,2035.698,2045.118,2041.762,2040.686,0,2653.67,2649.903,2664.702,2640.421,2647.198,0,181.2765,180.6749,176.7675,182.714,186.7912,0,61.91187,58.14288,84.27421,49.13538,70.1367,0,1751.929,1730.602,1598.541,1638.519,1716.526
0.52,0,2180.015,2177.049,2187.264,2170.56,2187.844,0,2039.404,2032.259,2041.816,2038.547,2038.864,0,2651.445,2645.477,2660.646,2634.474,2644.393,0,181.7592,181.077,176.7236,182.9365,186.5891,0,62.02881,60.3224,80.76035,47.60077,72.31897,0,1750.681,1729.563,1594.987,1635.864,1713.046
0.53,0,2186.841,2182.656,2194.294,2176.173,2193.854,0,2046.386,2037.565,2047.732,2044.114,2046.05,0,2660.653,2652.323,2667.748,2640.011,2653.06,0,182.6109,182.5178,177.9884,183.9754,187.3586,0,62.57071,63.38969,77.09235,48.17052,74.73775,0,1757.589,1735.063,1597.98,1640.758,1716.825
0.54,0,2201.391,2195.447,2209.202,2189.696,2207.403,0,2060.619,2049.888,2061.083,2056.673,2060.368,0,2678.885,2668.231,2683.827,2654.918,2670.837,0,183.6989,184.7288,180.3189,185.5839,188.883,0,63.45072,66.97276,73.6167,50.60663,77.21664,0,1770.95,1745.802,1606.284,1651.811,1726.5
0.55,0,2220.941,2212.911,2229.168,2208.463,2225.736,0,2079.52,2066.781,2079.313,2073.729,2079.206,0,2702.805,2690.06,2705.754,2676.183,2694.421,0,184.8735,187.3646,183.3556,187.4464,190.8495,0,64.5517,70.71402,70.63524,54.48184,79.60646,0,1788.365,1759.955,1618.142,1666.997,1740.138
0.56,0,2242.419,2232.21,2251.018,2229.462,2245.731,0,2100.178,2085.482,2099.52,2092.491,2099.635,0,2728.69,2714.258,2729.965,2700.38,2720.105,0,185.9937,190.0527,186.6744,189.2348,192.8982,0,65.74313,74.3232,68.37009,59.24696,81.80019,0,1807.123,1775.474,1631.567,1683.976,1755.554
0.57,0,2262.843,2250.585,2271.677,2249.761,2264.357,0,2119.771,2103.32,2118.866,2110.271,2118.825,0,2752.955,2737.375,2752.987,2724.159,2744.305,0,186.946,192.4437,189.8423,190.6632,194.6733,0,66.89836,77.60968,66.93832,64.3093,83.73441,0,1824.594,1790.387,1644.638,1700.433,1770.624
0.58,0,2279.701,2265.717,2288.558,2266.88,2279.076,0,2135.913,2118.05,2134.945,2124.82,2134.409,0,2772.607,2756.5,2771.879,2744.649,2764.02,0,187.6572,194.2559,192.4687,191.5321,195.8699,0,67.91003,80.48921,66.34047,69.11037,85.37904,0,1838.578,1803.036,1655.753,1714.371,1783.548
0.59,0,2291.229,2275.976,2299.842,2279.051,2288.139,0,2146.924,2128.105,2146.041,2134.575,2144.74,0,2785.574,2769.581,2784.569,2759.758,2777.165,0,188.0971,195.3088,194.2485,191.7567,196.2717,0,68.70248,82.96619,66.46458,73.19236,86.72023,0,1847.554,1812.243,1663.812,1724.333,1793.033
0.6,0,2296.558,2280.568,2304.63,2285.367,2290.748,0,2151.963,2132.718,2151.277,2138.782,2149.033,0,2790.877,2775.593,2790.031,2768.327,2782.747,0,188.276,195.5424,194.9909,191.3734,195.7756,0,69.23973,85.09809,67.10525,76.24445,87.74229,0,1850.823,1817.399,1668.319,1729.534,1798.387
0.61,0,2295.725,2279.541,2302.958,2285.796,2287.076,0,2151.051,2131.933,2150.637,2137.5,2147.374,0,2788.635,2774.548,2788.317,2770.16,2780.877,0,188.2353,195.0192,194.6326,190.526,194.4013,0,69.52846,86.95242,67.99493,78.12427,88.41487,0,1848.522,1818.452,1669.379,1729.89,1799.522
0.62,0,2289.571,2273.688,2295.684,2281.082,2278.146,0,2144.97,2126.503,2144.863,2131.506,2140.616,0,2779.934,2767.376,2780.426,2765.915,2772.637,0,188.0357,193.9092,193.2371,189.4341,192.2874,0,69.61505,88.56696,68.84328,78.85379,88.68907,0,1841.524,1815.839,1667.618,1725.954,1796.889
0.63,0,2279.54,2264.359,2284.287,2272.556,2265.618,0,2135.081,2117.712,2135.282,2122.11,2130.186,0,2766.583,2755.689,2768.08,2756.917,2759.834,0,187.7448,192.4607,190.979,188.3509,189.6721,0,69.57665,89.9231,69.3791,78.59307,88.50328,0,1831.252,1810.359,1664.015,1718.773,1791.341
0.64,0,2267.417,2253.221,2270.607,2261.899,2251.499,0,2123.082,2107.139,2123.56,2110.931,2117.836,0,2750.791,2741.495,2753.411,2744.899,2744.682,0,187.4259,190.9594,188.1194,187.517,186.8639,0,69.50688,90.93761,69.38925,77.59859,87.79727,0,1819.431,1803.019,1659.71,1709.699,1783.979
0.65,0,2255.057,2242.004,2256.567,2250.877,2237.844,0,2110.747,2096.422,2111.451,2099.648,2105.38,0,2734.841,2726.883,2738.638,2731.741,2729.465,0,187.1303,189.6835,184.973,187.1202,184.2026,0,69.49803,91.47409,68.74969,76.17406,86.53036,0,1807.825,1794.884,1655.792,1700.182,1775.98
0.66,0,2244.131,2232.261,2243.921,2241.104,2226.47,0,2099.691,2087.032,2100.558,2089.777,2094.451,0,2720.783,2713.747,2725.756,2719.215,2716.227,0,186.8924,188.8618,181.8716,187.2658,182.0161,0,69.62245,91.37085,67.44409,74.62234,84.69889,0,1797.997,1786.944,1653.114,1691.563,1768.449
0.67,0,2235.922,2225.182,2234.046,2233.844,2218.739,0,2091.171,2080.098,2092.138,2082.492,2086.307,0,2710.188,2703.553,2716.295,2708.783,2706.529,0,186.7292,188.6396,179.1267,187.9629,180.5778,0,69.91661,90.47836,65.56764,73.20502,82.34818,0,1791.108,1780.015,1652.164,1684.917,1762.285
0.68,0,2231.199,2221.473,2227.817,2229.886,2215.411,0,2085.967,2076.3,2086.984,2078.51,2081.71,0,2704,2697.205,2711.164,2701.463,2701.292,0,186.6423,189.0592,176.9961,189.1269,180.0695,0,70.37094,88.69827,63.31522,72.11452,79.57624,0,1787.803,1774.684,1652.999,1680.939,1758.105
0.69,0,2230.17,2221.316,2225.554,2229.49,2216.604,0,2084.326,2075.826,2085.37,2078.05,2080.879,0,2702.478,2694.982,2710.597,2697.764,2700.745,0,186.6212,190.0569,175.6562,190.5979,180.5556,0,70.92807,86.01532,60.95515,71.46034,76.52784,0,1788.169,1771.292,1655.249,1679.898,1756.204
0.7,0,2232.522,2224.397,2227.05,2232.412,2221.839,0,2085.999,2078.406,2087.077,2080.857,2083.521,0,2705.244,2696.568,2714.201,2697.696,2704.472,0,186.6482,191.4768,175.1858,192.1682,181.9729,0,71.49014,82.51604,58.79218,71.26914,73.38027,0,1791.779,1769.95,1658.201,1681.647,1756.557
0.71,0,2237.518,2230.005,2231.663,2237.987,2230.155,0,2090.321,2083.396,2091.482,2086.293,2088.931,0,2711.402,2701.155,2721.076,2700.84,2711.533,0,186.702,193.0977,175.5612,193.6164,184.137,0,71.93459,78.39008,57.12449,71.49591,70.32367,0,1797.799,1770.575,1660.929,1685.693,1758.864
0.72,0,2244.148,2237.167,2238.448,2245.266,2240.288,0,2096.353,2089.909,2097.689,2093.46,2096.121,0,2719.716,2707.59,2730.003,2706.461,2720.65,0,186.7614,194.6697,176.6648,194.7408,186.7667,0,72.13555,73.91399,56.20107,72.0428,67.53934,0,1805.146,1772.929,1662.468,1691.301,1762.617
0.73,0,2251.296,2244.808,2246.318,2253.165,2250.862,0,2103.035,2096.955,2104.677,2101.342,2103.986,0,2728.815,2714.563,2739.648,2713.636,2730.41,0,186.8079,195.9541,178.3051,195.3876,189.5206,0,71.98733,69.41989,56.18572,72.78167,65.17971,0,1812.66,1776.665,1661.99,1697.616,1767.189
0.74,0,2257.904,2251.906,2254.201,2260.626,2260.585,0,2109.345,2103.583,2111.456,2108.951,2111.46,0,2737.385,2720.795,2748.753,2721.398,2739.469,0,186.8271,196.7593,180.2458,195.4697,192.0439,0,71.42554,65.25435,57.13359,73.57663,63.35268,0,1819.27,1781.359,1658.963,1703.789,1771.919
0.75,0,2263.111,2257.62,2261.169,2266.751,2268.409,0,2114.425,2109.002,2117.196,2115.445,2117.653,0,2744.34,2725.211,2756.303,2728.856,2746.724,0,186.81,196.9694,182.2389,194.9755,194.0145,0,70.44204,61.73412,58.98405,74.30384,62.11234,0,1824.139,1786.549,1653.259,1709.086,1776.196
0.76,0,2266.345,2261.38,2266.548,2270.902,2273.638,0,2117.685,2112.666,2121.332,2120.219,2121.943,0,2748.939,2727.081,2761.622,2735.292,2751.433,0,186.7528,196.5604,184.0582,193.9669,195.1856,0,69.09094,59.1055,61.57148,74.86634,61.45656,0,1826.749,1791.758,1645.202,1712.97,1779.528
