time,ref1,finger1_exp1,finger1_exp2,finger1_exp3,finger1_exp4,finger1_exp5,ref2,finger2_exp1,finger2_exp2,finger2_exp3,finger2_exp4,finger2_exp5,ref3,finger3_exp1,finger3_exp2,finger3_exp3,finger3_exp4,finger3_exp5,force_ref1,force_finger1_exp1,force_finger1_exp2,force_finger1_exp3,force_finger1_exp4,force_finger1_exp5,force_ref2,force_finger2_exp1,force_finger2_exp2,force_finger2_exp3,force_finger2_exp4,force_finger2_exp5,force_ref3,force_finger3_exp1,force_finger3_exp2,force_finger3_exp3,force_finger3_exp4,force_finger3_exp5
0.35,0,2062.002,2058.759,2051.439,2059.857,2077.769,0,1893.909,1912.966,1911.204,1921.272,1927.87,0,2477.635,2475.595,2479.457,2484.438,2502.075,0,183.5135,174.1243,175.4451,173.3366,163.9896,0,66.39243,64.9026,70.72108,65.47668,70.02827,0,2176.011,1500.577,1573.869,1620.46,1671.008
0.36,0,2084.396,2077.65,2067.988,2080.882,2099.312,0,1913.197,1931.971,1932.392,1943.08,1946.185,0,2497.908,2501.596,2503.736,2510.931,2524.928,0,187.977,173.9392,175.5443,170.5805,166.2675,0,67.49902,64.33307,68.80981,66.36649,71.61787,0,2198.029,1514.484,1589.94,1637.542,1687.194
0.37,0,2127.199,2117.669,2106.512,2122.479,2140.324,0,1951.467,1969.5,1972.526,1984.045,1983.667,0,2543.142,2552.915,2554.03,2562.673,2572.793,0,193.7609,175.5225,177.085,169.4015,170.066,0,69.06646,64.57854,67.11469,68.14742,73.24564,0,2241.777,1544.233,1622.648,1671.222,1720.068
0.38,0,2182.496,2171.104,2159.526,2176.858,2193.066,0,2001.585,2018.419,2024.401,2036.694,2033.175,0,2604.434,2620.072,2621.031,2630.033,2636.456,0,199.9845,178.4257,179.5796,169.5249,174.7375,0,70.88271,65.4959,65.66732,70.54181,74.65503,0,2299.082,1584.246,1665.933,1715.226,1763.42
0.39,0,2241.678,2229.496,2218.627,2235.523,2249.197,0,2055.746,2071.013,2080.17,2092.922,2086.908,0,2671.94,2692.704,2694.437,2702.515,2705.814,0,205.7534,182.1073,182.474,170.6098,179.5877,0,72.73605,66.89627,64.47639,73.21519,75.61256,0,2361.024,1628.315,1713.111,1762.688,1810.469
0.4,0,2296.6,2284.78,2275.628,2290.415,2300.895,0,2106.528,2120.015,2132.387,2145.076,2137.454,0,2736.208,2760.948,2764.333,2770.179,2771.241,0,210.2807,186.0115,185.2258,172.2999,183.9716,0,74.44272,68.57454,63.53541,75.81553,75.94263,0,2419.142,1670.432,1757.776,1807.071,1854.781
0.41,0,2340.565,2330.26,2323.54,2334.873,2341.796,0,2147.783,2159.487,2174.889,2186.88,2178.676,0,2789.32,2816.628,2822.369,2824.855,2824.74,0,212.9859,189.639,187.3739,174.2634,187.3727,0,75.86589,70.33644,62.8318,78.01202,75.55188,0,2466.441,1705.519,1794.566,1842.957,1891.055
0.42,0,2369.022,2361.31,2357.313,2364.333,2367.648,0,2175.282,2185.416,2203.424,2214.085,2206.351,0,2825.718,2854.107,2862.636,2861,2860.768,0,213.5604,192.6052,188.5933,176.2223,189.4603,0,76.92422,72.01965,62.35548,79.52983,74.44006,0,2498.125,1729.955,1819.726,1866.614,1915.671
0.43,0,2379.921,2375.731,2374.252,2376.667,2376.623,0,2187.04,2196.019,2215.978,2224.802,2218.487,0,2842.652,2870.716,2882.132,2876.13,2876.67,0,211.9925,194.6772,188.7272,177.9694,190.1166,0,77.59051,73.50636,62.10486,80.17804,72.69689,0,2511.952,1741.873,1831.402,1876.292,1926.969
0.44,0,2373.701,2373.761,2374.09,2372.192,2369.291,0,2183.328,2191.718,2212.769,2219.485,2215.327,0,2840.206,2866.771,2880.818,2870.802,2872.691,0,208.551,195.7864,187.7953,179.3745,189.4335,0,77.88245,74.72648,62.0883,79.86865,70.48682,0,2508.238,1741.198,1829.675,1872.239,1925.234
0.45,0,2352.968,2357.765,2358.757,2353.354,2348.283,0,2166.388,2174.829,2195.978,2200.622,2199.063,0,2820.972,2845.201,2861.294,2848.202,2851.615,0,203.7332,196.0168,185.9769,180.3822,187.6824,0,77.84893,75.6524,62.32088,78.62488,68.02505,0,2489.527,1729.459,1816.329,1856.452,1912.42
0.46,0,2321.922,2331.681,2331.885,2324.174,2317.729,0,2139.929,2149.048,2169.249,2172.193,2173.332,0,2789.432,2810.874,2828.172,2813.434,2818.127,0,198.185,195.5714,183.5735,181.0034,185.2623,0,77.55492,76.28802,62.81688,76.57811,65.54991,0,2460.004,1709.412,1794.441,1832.236,1891.698
0.47,0,2285.64,2300.321,2298.159,2289.562,2282.556,0,2108.481,2118.81,2137.062,2138.984,2142.584,0,2751.16,2769.758,2787.268,2772.627,2777.99,0,192.6075,194.7242,180.9576,181.3019,182.6356,0,77.06818,76.65546,63.58028,73.95347,63.29584,0,2424.77,1684.553,1767.841,1803.638,1866.877
0.48,0,2249.324,2268.631,2262.602,2254.575,2247.773,0,2076.723,2088.617,2104.074,2105.881,2111.418,0,2711.984,2728.019,2744.723,2732.007,2737.182,0,187.6613,193.7663,178.5148,181.3785,180.2606,0,76.44931,76.78287,64.5954,71.04486,61.47072,0,2389.073,1658.59,1740.535,1774.847,1841.828
0.49,0,2217.612,2241.017,2229.901,2223.755,2217.812,0,2048.854,2062.447,2074.506,2077.213,2083.972,0,2677.194,2691.205,2706.185,2697.058,2701.096,0,183.883,192.9555,176.5884,181.3535,178.5307,0,75.74641,76.69591,65.82011,68.18173,60.23949,0,2357.606,1634.942,1716.174,1749.638,1819.951
0.5,0,2194.038,2220.814,2203.852,2200.594,2196.019,0,2028.102,2043.286,2051.657,2056.249,2063.439,0,2650.914,2663.59,2676.137,2671.875,2673.906,0,181.6233,192.478,175.4337,181.35,177.7274,0,74.99358,76.41402,67.18325,65.69088,59.71392,0,2333.963,1616.341,1697.625,1730.931,1803.786
0.51,0,2180.69,2209.962,2186.978,2187.197,2184.338,0,2016.41,2032.853,2037.593,2044.879,2051.766,0,2635.696,2647.762,2657.459,2658.769,2658.161,0,181.0143,192.4279,175.1871,181.4779,177.9913,0,74.21277,75.95145,68.58738,63.85788,59.94782,0,2320.288,1604.557,1686.694,1720.505,1794.773
0.52,0,2178.106,2208.895,2180.352,2184.162,2183.217,0,2014.325,2031.517,2033.028,2043.521,2049.536,0,2632.354,2644.478,2651.233,2658.159,2654.632,0,181.9686,192.8078,175.856,181.8209,179.3152,0,73.41764,75.32184,69.91679,62.89291,60.93607,0,2317.167,1600.286,1684.019,1718.889,1793.199
0.53,0,2185.369,2216.655,2183.633,2190.667,2191.708,0,2021.079,2038.408,2037.39,2051.219,2056.046,0,2640.052,2652.767,2656.809,2668.727,2662.408,0,184.2077,193.5459,177.3267,182.4269,181.5555,0,72.61817,74.54459,71.05002,62.90526,62.61667,0,2323.729,1603.184,1689.124,1725.422,1798.297
0.54,0,2200.39,2231.17,2195.266,2204.729,2207.737,0,2034.842,2051.675,2049.044,2065.925,2069.539,0,2656.594,2670.256,2672.084,2687.784,2679.206,0,187.3152,194.5263,179.3897,183.3022,184.4608,0,71.82518,73.65103,71.87489,63.88994,64.87528,0,2337.931,1612.03,1700.611,1738.464,1808.477
0.55,0,2220.318,2249.664,2212.823,2223.593,2228.496,0,2053.073,2068.845,2065.63,2084.88,2087.538,0,2678.86,2693.639,2693.937,2711.791,2701.812,0,190.8036,195.6209,181.7782,184.4113,187.7112,0,71.05389,72.68835,72.30383,65.72784,67.55278,0,2356.966,1624.99,1716.444,1755.703,1821.643
0.56,0,2241.993,2269.107,2233.408,2244.171,2250.887,0,2072.936,2087.222,2084.445,2105.062,2107.25,0,2703.319,2719.208,2718.75,2736.928,2726.614,0,194.1863,196.7176,184.211,185.6803,190.9624,0,70.32616,71.71997,72.28693,68.19954,70.45598,0,2377.716,1639.923,1734.275,1774.518,1835.531
0.57,0,2262.401,2286.662,2254.085,2263.485,2271.95,0,2091.705,2104.272,2102.829,2123.612,2125.952,0,2726.54,2743.389,2742.932,2759.646,2750.112,0,197.0429,197.7381,186.4346,187.0056,193.8902,0,69.67106,70.82159,71.82043,71.01101,73.37197,0,2397.207,1654.699,1751.777,1792.346,1848.042
0.58,0,2279.054,2300.047,2272.247,2279.044,2289.239,0,2107.109,2117.939,2118.494,2138.19,2141.338,0,2745.633,2763.196,2763.386,2777.117,2769.36,0,199.0698,198.6421,188.2575,188.2661,196.2283,0,69.12378,70.07332,70.94967,73.82844,76.08553,0,2412.98,1667.467,1766.924,1807.001,1857.5
0.59,0,2290.255,2307.799,2285.919,2289.124,2301.075,0,2117.575,2126.859,2129.767,2147.233,2151.765,0,2758.572,2776.548,2777.861,2787.543,2782.295,0,200.1105,199.4209,189.5715,189.3375,197.7971,0,68.72276,69.54869,69.7655,76.3178,78.3981,0,2423.361,1676.869,1778.207,1816.913,1862.842
0.6,0,2295.231,2309.38,2293.93,2292.909,2306.683,0,2122.356,2130.465,2135.73,2150.073,2156.399,0,2764.362,2782.445,2785.151,2790.279,2787.905,0,200.1616,200.0822,190.3575,190.1081,198.519,0,68.50541,69.30228,68.39519,78.18443,80.14659,0,2427.587,1682.158,1784.755,1821.266,1863.686
0.61,0,2294.127,2305.156,2295.97,2290.508,2306.181,0,2121.534,2128.964,2136.24,2146.924,2155.239,0,2763.058,2780.971,2785.139,2785.8,2786.242,0,199.3581,200.6326,190.6767,190.4922,198.4202,0,68.50253,69.35781,66.98826,79.20759,81.21915,0,2425.805,1683.216,1786.365,1820.025,1860.314
0.62,0,2287.875,2296.246,2292.534,2282.845,2300.462,0,2115.905,2123.215,2131.86,2138.763,2149.027,0,2755.639,2773.164,2778.692,2775.503,2778.304,0,197.9404,201.0613,190.6488,190.4425,197.6181,0,68.73247,69.69918,65.69957,79.26572,81.5662,0,2418.945,1680.496,1783.45,1813.863,1853.559
0.63,0,2277.984,2284.292,2284.76,2271.451,2290.974,0,2106.796,2114.541,2123.702,2127.115,2139.083,0,2743.771,2760.769,2767.438,2761.42,2765.798,0,196.2091,201.3317,190.4235,189.9565,196.2971,0,69.19512,70.26666,64.67136,78.34951,81.20475,0,2408.505,1674.891,1776.914,1804.003,1844.636
0.64,0,2266.261,2271.167,2274.209,2258.201,2279.458,0,2095.823,2104.488,2113.228,2113.797,2127.073,0,2729.511,2745.933,2753.464,2745.86,2750.844,0,194.4764,201.3799,190.1489,189.0788,194.6771,0,69.86716,70.96069,64.01706,76.56165,80.21553,0,2396.288,1667.558,1767.983,1792.013,1834.937
0.65,0,2254.539,2258.7,2262.617,2245.035,2267.678,0,2084.642,2094.601,2102.028,2100.655,2114.756,0,2714.989,2730.878,2738.987,2731.07,2735.654,0,193.0205,201.1241,189.9458,187.8983,192.9795,0,70.69874,71.65443,63.80893,74.10413,78.73288,0,2384.125,1659.73,1758.022,1779.572,1825.824
0.66,0,2244.429,2248.423,2251.649,2233.695,2257.177,0,2074.728,2086.211,2091.608,2089.321,2103.749,0,2702.119,2717.608,2726.045,2718.929,2722.234,0,192.0487,200.4796,189.8887,186.5407,191.3962,0,71.61324,72.21442,64.07127,71.25529,76.92865,0,2373.629,1652.546,1748.354,1768.25,1818.449
